nodenumber,    x-coordinate,    y-coordinate,      x-velocity,      y-velocity
      3582, 1.914310773E-01, 1.799665165E-01, 1.195956043E-01,-1.002839581E-02
      3583, 1.921163591E-01, 1.653642236E-01, 1.057322499E-01,-1.085483386E-02
      3584, 1.922158586E-01, 1.513412148E-01, 9.193220650E-02,-1.124101257E-02
      3585, 1.911382024E-01, 1.376435516E-01, 7.835083933E-02,-1.112681380E-02
      3586, 1.380222878E-01, 1.609544450E-02, 1.798229025E-04, 3.595678365E-03
      3587, 1.478364297E-01,-4.595587023E-02, 2.226685830E-03, 5.533438473E-03
      3588, 1.199596865E-01,-7.883812833E-02, 6.963122624E-03, 5.088516649E-03
      3589, 1.436610614E-01,-3.896975741E-02, 1.289607563E-03, 4.994005479E-03
      3590, 1.356051464E-01,-7.124645064E-02, 6.089076276E-03, 5.834376407E-03
      3591, 3.087579914E-02, 1.338733194E-01, 8.376298402E-02,-2.269372630E-03
      3592, 1.901208929E-01, 1.945673808E-01, 1.325896789E-01,-8.834068640E-03
      3593, 5.692320464E-02, 2.062288632E-01, 1.601213411E-01, 7.288666294E-03
      3594, 4.532767572E-02, 1.987022328E-01, 1.568791547E-01, 8.962134102E-03
      3595, 3.001556447E-02,-1.338881087E-01, 3.930533506E-02,-6.916623789E-04
      3596, 4.680674019E-02,-2.011450464E-01, 8.484326565E-02,-1.263728090E-02
      3597, 1.439163909E-01,-2.783593883E-02, 4.320480774E-04, 4.743324144E-03
      3598, 1.100732924E-01, 7.912794908E-02, 1.407329307E-02,-4.842226927E-03
      3599, 2.010854488E-01, 1.228737329E-01, 6.479589896E-02,-1.029999558E-02
      3600, 1.448202658E-01,-1.026276998E-02,-1.974237896E-04, 4.490642464E-03
      3601, 7.079255377E-02,-2.018593651E-01, 8.037353561E-02,-6.890044212E-03
      3602, 2.037119773E-01,-7.658806077E-02, 1.123254615E-02, 9.562115578E-03
      3603, 9.398239326E-02,-9.166661654E-02, 8.792731515E-03, 4.363675805E-03
      3604, 1.369259411E-01,-4.205302048E-02, 1.378154858E-03, 4.539824505E-03
      3605, 2.064929106E-01,-2.042700555E-01, 6.424490166E-02, 8.686492706E-03
      3606, 1.143458558E-01,-6.365483068E-02, 3.089547224E-03, 3.390854040E-03
      3607, 1.092941265E-01,-7.062196551E-02, 4.015247797E-03, 3.471086661E-03
      3608, 1.034715361E-01,-7.721375319E-02, 5.026247222E-03, 3.572903572E-03
      3609, 1.031451296E-01,-8.783409322E-02, 8.278878864E-03, 4.594756284E-03
      3610, 9.778098040E-02,-8.283351393E-02, 6.040972532E-03, 3.692789774E-03
      3611, 2.062538818E-01,-9.014675530E-02, 1.523994158E-02, 1.028414205E-02
      3612, 2.077671430E-01,-1.041494976E-01, 2.000638249E-02, 1.088076892E-02
      3613, 2.077439520E-01,-1.180084684E-01, 2.526709169E-02, 1.126864999E-02
      3614, 2.068179530E-01,-1.321655816E-01, 3.115469312E-02, 1.143463144E-02
      3615, 2.048543962E-01,-1.464460169E-01, 3.754390518E-02, 1.132980829E-02
      3616, 2.029296230E-01,-1.606682755E-01, 4.422917965E-02, 1.095348375E-02
      3617, 2.016652802E-01,-1.754017515E-01, 5.128342602E-02, 1.031943034E-02
      3618, 2.001200141E-01,-1.910116030E-01, 5.871721140E-02, 9.322642232E-03
      3619, 1.874435544E-01,-2.049505499E-01, 6.610658604E-02, 7.481875926E-03
      3620, 1.712573149E-01,-2.052949532E-01, 6.777058694E-02, 6.288604900E-03
      3621, 1.545015098E-01,-2.058008979E-01, 6.976717382E-02, 4.808001265E-03
      3622, 1.405604654E-01,-2.079280686E-01, 7.241994767E-02, 3.145000233E-03
      3623, 1.259535175E-01,-2.086821194E-01, 7.469801130E-02, 1.309677619E-03
      3624, 1.111411379E-01,-2.087137449E-01, 7.685594031E-02,-7.489615835E-04
      3625, 9.630115363E-02,-2.070941506E-01, 7.838496385E-02,-2.868990710E-03
      3626, 8.363661942E-02,-2.058862154E-01, 7.995690882E-02,-4.990069448E-03
      3627, 1.234046404E-01,-6.557623526E-02, 4.083929605E-03, 4.397062503E-03
      3628, 1.270195410E-01,-7.287564365E-02, 5.912912868E-03, 5.227735123E-03
      3629, 1.311410733E-01, 1.773397397E-02,-2.797251590E-05, 3.436085704E-03
      3630, 1.319161493E-01,-4.142842614E-03,-3.788508394E-04, 3.806051848E-03
      3631, 1.342094391E-01, 2.260101167E-03,-3.632466986E-04, 3.883883810E-03
      3632, 1.276039133E-01, 4.880596489E-03,-3.955792500E-04, 3.549384875E-03
      3633, 1.254002125E-01,-1.311885756E-03,-3.763870832E-04, 3.391691181E-03
      3634, 2.047373966E-01, 1.349793064E-01, 7.625415426E-02,-1.089878157E-02
      3635, 2.065026331E-01, 1.483298285E-01, 8.900741587E-02,-1.113547120E-02
      3636, 2.063699814E-01, 1.643280877E-01, 1.042151958E-01,-1.090764673E-02
      3637, 2.057404182E-01, 1.802578689E-01, 1.189066460E-01,-1.018232714E-02
      3638, 8.917635127E-02,-9.491786750E-02, 9.715423514E-03, 4.390664299E-03
      3639, 8.327424616E-02,-9.886402756E-02, 1.101812307E-02, 4.444280149E-03
      3640, 7.744482982E-02,-1.039695284E-01, 1.323188407E-02, 4.601778629E-03
      3641, 7.077703180E-02,-1.085730660E-01, 1.555631142E-02, 4.600690184E-03
      3642, 6.395293388E-02,-1.128095730E-01, 1.811594440E-02, 4.447666105E-03
      3643, 5.703012763E-02,-1.165235930E-01, 2.079144361E-02, 4.102669385E-03
      3644, 5.004514614E-02,-1.196911149E-01, 2.351449571E-02, 3.545216320E-03
      3645, 4.297180425E-02,-1.223114457E-01, 2.623092608E-02, 2.765778780E-03
      3646, 3.593421844E-02,-1.244001192E-01, 2.888946901E-02, 1.776191432E-03
      3647, 1.123292394E-01, 6.219665501E-02, 5.601540775E-03,-1.289441647E-03
      3648, 1.163844325E-01, 5.475462427E-02, 3.806025873E-03,-4.359195701E-05
      3649, 1.198377073E-01, 4.739563040E-02, 2.468745713E-03, 9.982593010E-04
      3650, 1.224317194E-01, 3.997583509E-02, 1.427934301E-03, 1.856142286E-03
      3651, 1.241292252E-01, 3.263366043E-02, 6.572489651E-04, 2.517382941E-03
      3652, 1.247833943E-01, 2.540610510E-02, 1.140453829E-04, 2.979116342E-03
      3653, 1.418043079E-01,-1.705859988E-02,-9.204999020E-05, 4.446079057E-03
      3654, 1.401950517E-01,-3.311230543E-02, 7.047139923E-04, 4.586527885E-03
      3655, 1.384088925E-01,-2.333538501E-02, 1.070201925E-04, 4.300555203E-03
      3656, 1.356829212E-01,-6.388586513E-02, 4.488424455E-03, 5.391060163E-03
      3657, 1.238000293E-01, 1.300230589E-02,-3.506276062E-04, 3.301896226E-03
      3658, 3.512629686E-02,-2.019636343E-01, 8.767296654E-02,-1.623930054E-02
      3659, 3.321680321E-02,-1.904340229E-01, 8.242082663E-02,-1.427267398E-02
      3660, 2.930758507E-02,-1.697821805E-01, 7.052071076E-02,-1.019570997E-02
      3661, 2.748931115E-02,-1.608632178E-01, 6.430988166E-02,-8.263210271E-03
      3662, 2.554320649E-02,-1.517389122E-01, 5.724715668E-02,-6.239297334E-03
      3663, 2.384937728E-02,-1.431366390E-01, 4.984939711E-02,-4.299978250E-03
      3664, 2.872209721E-02,-1.261309951E-01, 3.164017671E-02, 5.258132363E-04
      3665, 2.244645624E-02,-1.350210128E-01, 4.217874646E-02,-2.520520919E-03
      3666, 2.146331447E-02,-1.273630099E-01, 3.429503135E-02,-9.644866770E-04
      3667, 7.048203850E-02,-2.110434174E-01, 8.482771792E-02,-8.667532432E-03
      3668, 6.092548293E-02,-2.122636924E-01, 8.707547304E-02,-1.112929041E-02
      3669, 4.894500127E-02,-2.125009865E-01, 8.939537890E-02,-1.429881828E-02
      3670, 2.098845915E-01, 1.182501406E-01, 6.123943204E-02,-9.905113702E-03
      3671, 2.097786787E-01, 1.069549345E-01, 5.169948607E-02,-8.908423246E-03
      3672, 2.097402436E-01, 9.397845720E-02, 4.164470260E-02,-7.483088323E-03
      3673, 2.093431269E-01, 7.981485200E-02, 3.190350267E-02,-5.704022316E-03
      3674, 2.116314188E-01, 6.723564018E-02, 2.481259477E-02,-4.041220474E-03
